nationality_en,cnt
Spain,233
Turkey,53
Italy,52
Argentina,44
Portugal,36
Brazil,31
Mexico,29
Colombia,25
Peru,16
India,15
France,12
Bolivia,12
Austria,9
Germany,9
USA,7
Venezuela,7
Greece,6
Netherlands,6
Sweden,6
Indonesia,6
Denmark,5
Bulgaria,4
Iran,4
Cuba,4
Cyprus,4
Slovakia,3
United Kingdom,3
Poland,3
Uganda,3
Taiwan,3
Albania,3
Lithuania,3
Honduras,3
Guatemala,3
Georgia,3
Finland,3
El salvador,3
Congo,3
China,3
Vietnam ,3
Egypt,2
Chile,2
Mozambique,1
Malaysia,1
Switzerland,1
Dominican Republic,1
